define,scale,name
symbol_01,0.91,Käse
symbol_02,0.88,Bankkarte
symbol_03,0.91,Stecker
symbol_04,0.91,Katze
symbol_05,0.94,Keks
symbol_06,0.90,Ei
symbol_07,1.03,Kuh
symbol_08,0.97,Mädchen
symbol_09,0.97,Mädchen (Duplikat 1)
symbol_10,0.97,Mädchen (Duplikat 2)
symbol_11,1.00,Symbol 11
symbol_12,1.00,Symbol 12
symbol_13,1.00,Symbol 13
symbol_14,1.00,Symbol 14
symbol_15,1.00,Symbol 15
symbol_16,1.00,Symbol 16
symbol_17,1.00,Symbol 17
symbol_18,1.00,Symbol 18
symbol_19,1.00,Symbol 19
symbol_20,1.00,Symbol 20
symbol_21,1.00,Symbol 21
symbol_22,1.00,Symbol 22
symbol_23,1.00,Symbol 23
symbol_24,1.00,Symbol 24
symbol_25,1.00,Symbol 25
symbol_26,1.00,Symbol 26
symbol_27,1.00,Symbol 27
symbol_28,1.00,Symbol 28
symbol_29,1.00,Symbol 29
symbol_30,1.00,Symbol 30
symbol_31,1.00,Symbol 31
symbol_32,1.00,Symbol 32
symbol_33,1.00,Symbol 33
symbol_34,1.00,Symbol 34
symbol_35,1.00,Symbol 35
symbol_36,1.00,Symbol 36
symbol_37,1.00,Symbol 37
symbol_38,1.00,Symbol 38
symbol_39,1.00,Symbol 39
symbol_40,1.00,Symbol 40
symbol_41,1.00,Symbol 41
symbol_42,1.00,Symbol 42
symbol_43,1.00,Symbol 43
symbol_44,1.00,Symbol 44
symbol_45,1.00,Symbol 45
symbol_46,1.00,Symbol 46
symbol_47,1.00,Symbol 47
symbol_48,1.00,Symbol 48
symbol_49,1.00,Symbol 49
symbol_50,1.00,Symbol 50
