Frequenz_0_4,Gegenstand,Handlung,Eigenschaften,Ort,Anzahl_Kategorien
4,Ball,"Spielen, Transportieren","rund, leicht, bunt, beweglich","Spielplatz, Sportplatz",8
4,Besen,"Putzen, Sammeln","lang, leicht, rau, biegsam","Garten, Schule",8
4,Bett,"Schlafen, Aufbewahren","groß, weich, stabil, fest","Schlafzimmer, Krankenhaus",8
4,Brille,"Lesen, Beobachten","klein, leicht, durchsichtig, zerbrechlich","Geschäft, Krankenhaus",8
4,Buch,"Lesen, Aufbewahren","eckig, mittelgroß, matt, blickdicht","Schule, Büro",8
4,Decke,"Schlafen, Schützen","weich, groß, flauschig, stabil","Schlafzimmer, Krankenhaus",8
4,Gabel,"Essen, Kochen","klein, hart, spitz, glänzend","Küche, Campingplatz",8
4,Handtuch,"Waschen, Aufbewahren","weich, groß, leicht, flauschig","Badezimmer, Schlafzimmer",8
4,Kissen,"Schlafen, Dekorieren","weich, groß, leicht, flauschig","Schlafzimmer, Park",8
4,Lampe,"Leuchten, Dekorieren","hell, glänzend, hart, zerbrechlich","Büro, Schlafzimmer",8
4,Löffel,"Essen, Trinken","klein, hart, glatt, glänzend","Küche, Campingplatz",8
4,Messer,"Schneiden, Kochen","hart, spitz, gefährlich, glänzend","Küche, Campingplatz",8
4,Pfanne,"Kochen, Aufbewahren","rund, hart, groß, schwer","Küche, Campingplatz",8
4,Regenschirm,"Tragen, Schützen","lang, leicht, blickdicht, stabil","Straße, Park",8
4,Schere,"Schneiden, Dekorieren","hart, spitz, beweglich, glänzend","Schule, Büro",8
4,Schüssel,"Essen, Kochen","rund, hart, glatt, mittelgroß","Küche, Geschäft",8
4,Seife,"Waschen, Putzen","klein, glatt, duftend, rutschig","Badezimmer, Krankenhaus",8
4,Stift,"Schreiben, Dekorieren","klein, leicht, dünn, spitz","Schule, Büro",8
4,Tasse,"Trinken, Aufbewahren","rund, hart, glatt, blickdicht","Küche, Büro",8
4,Teller,"Essen, Aufbewahren","rund, hart, glatt, blickdicht","Küche, Geschäft",8
4,Topf,"Kochen, Aufbewahren","groß, hart, rund, schwer","Küche, Campingplatz",8
4,Trinkflasche,"Trinken, Transportieren","leicht, glatt, fest, blickdicht","Sportplatz, Wald",8
4,Zahnbürste,"Waschen, Putzen","klein, leicht, fest, spitz","Badezimmer, Krankenhaus",8
3,Bauklötze,"Spielen, Bauen","bunt, eckig, hart, stabil","Schule, Spielplatz",8
3,Computer,"Schreiben, Kommunizieren","eckig, hart, blickdicht, dunkel","Büro, Schule",8
3,Eimer,"Tragen, Aufbewahren","groß, leicht, rund, blickdicht","Garten, Bauernhof",8
3,Fahrrad,"Transportieren, Tragen","schnell, leicht, groß, beweglich","Straße, Park",8
3,Gießkanne,"Tragen, Waschen","groß, leicht, fest, glatt","Garten, Bauernhof",8
3,Hammer,"Reparieren, Bauen","hart, schwer, robust, stark","Werkstatt, Baustelle",8
3,Helm,"Schützen, Tragen","hart, leicht, stabil, robust","Straße, Baustelle",8
3,Kamm,"Waschen, Dekorieren","klein, hart, spitz, glatt","Badezimmer, Schlafzimmer",8
3,Kerze,"Leuchten, Dekorieren","klein, hell, duftend, gefährlich","Küche, Geschäft",8
3,Lineal,"Messen, Schreiben","lang, dünn, starr, glatt","Schule, Büro",8
3,Maus,"Kommunizieren, Schreiben","klein, glatt, beweglich, dunkel","Büro, Schule",8
3,Maßband,"Messen, Bauen","lang, dünn, biegsam, leicht","Baustelle, Werkstatt",8
3,Puzzle,"Spielen, Sammeln","bunt, eckig, mittelgroß, blickdicht","Schule, Park",8
3,Radio,"Musizieren, Kommunizieren","laut, hart, mittelgroß, blickdicht","Garage, Park",8
3,Rucksack,"Tragen, Aufbewahren","groß, leicht, weich, blickdicht","Schule, Wald",8
3,Schaufel,"Graben, Bauen","groß, hart, robust, stumpf","Garten, Baustelle",8
3,Schraubenzieher,"Reparieren, Bauen","lang, hart, fest, glänzend","Werkstatt, Garage",8
3,Schubkarre,"Transportieren, Tragen","groß, beweglich, robust, schwer","Garten, Baustelle",8
3,Spiegel,"Beobachten, Dekorieren","glatt, glänzend, zerbrechlich, eckig","Badezimmer, Schlafzimmer",8
3,Säge,"Schneiden, Bauen","lang, hart, gefährlich, rau","Werkstatt, Baustelle",8
3,Tastatur,"Schreiben, Kommunizieren","eckig, hart, matt, dunkel","Büro, Schule",8
3,Würfel,"Spielen, Sammeln","klein, eckig, hart, bunt","Schule, Spielplatz",8
3,Zange,"Reparieren, Bauen","hart, beweglich, stark, glänzend","Werkstatt, Garage",8
3,Zeitung,"Lesen, Aufbewahren","dünn, leicht, matt, biegsam","Bahnhof, Geschäft",8
3,Zollstock,"Messen, Bauen","lang, starr, hart, leicht","Baustelle, Werkstatt",8
2,Angel,"Beobachten, Sammeln","lang, biegsam, leicht, beweglich","Wiese, Park",8
2,Arztkoffer,"Aufbewahren, Transportieren","eckig, robust, blickdicht, mittelgroß","Krankenhaus, Büro",8
2,Fernglas,"Beobachten, Suchen","klein, glänzend, hart, stabil","Wald, Wiese",8
2,Fußballtor,"Spielen, Schützen","groß, stabil, hart, blickdicht","Sportplatz, Spielplatz",8
2,Karte,"Lesen, Suchen","dünn, leicht, eckig, matt","Wald, Campingplatz",8
2,Koffer,"Tragen, Transportieren","groß, hart, schwer, blickdicht","Bahnhof, Schlafzimmer",8
2,Kompass,"Messen, Suchen","klein, rund, glänzend, stabil","Wald, Wiese",8
2,Krücke,"Tragen, Schützen","lang, leicht, stabil, hart","Krankenhaus, Straße",8
2,Lupe,"Beobachten, Suchen","klein, durchsichtig, rund, glänzend","Wald, Schule",8
2,Mikrofon,"Kommunizieren, Musizieren","laut, mittelgroß, hart, glänzend","Bahnhof, Sportplatz",8
2,Pfeife,"Kommunizieren, Musizieren","klein, laut, leicht, glänzend","Sportplatz, Bahnhof",8
2,Rollstuhl,"Transportieren, Schützen","groß, beweglich, robust, schwer","Krankenhaus, Straße",8
2,Schlafsack,"Schlafen, Aufbewahren","weich, groß, leicht, flauschig","Campingplatz, Schlafzimmer",8
2,Schläger,"Spielen, Schützen","leicht, hart, lang, stabil","Sportplatz, Spielplatz",8
2,Seil,"Tragen, Bauen","lang, biegsam, stark, rau","Wald, Baustelle",8
2,Stethoskop,"Beobachten, Kommunizieren","klein, leicht, beweglich, glatt","Krankenhaus, Büro",8
2,Taschenlampe,"Leuchten, Suchen","klein, hell, leicht, hart","Wald, Campingplatz",8
2,Taschenmesser,"Schneiden, Reparieren","klein, spitz, gefährlich, glänzend","Wald, Campingplatz",8
2,Thermoskanne,"Trinken, Transportieren","groß, fest, blickdicht, robust","Campingplatz, Wald",8
2,Turnmatte,"Spielen, Schützen","weich, groß, leicht, flauschig","Sportplatz, Schule",8
2,Verkehrsschild,"Kommunizieren, Beobachten","groß, hart, stabil, bunt","Straße, Baustelle",8
2,Wanderstock,"Tragen, Schützen","lang, robust, hart, leicht","Wald, Wiese",8
2,Werkzeugkiste,"Aufbewahren, Transportieren","robust, schwer, eckig, blickdicht","Werkstatt, Garage",8
2,Zelt,"Schlafen, Schützen","groß, leicht, fest, stabil","Campingplatz, Wiese",8
1,Trommel,"Musizieren, Spielen","laut, rund, groß, bunt","Schule, Spielplatz",8
