symbol_id,gegenstand,suchbegriff_de,suchbegriff_en,status,bester_id,bester_name,bester_keywords,bester_farbig_link,bester_sw_link,bester_arasaac_link,alternative_id,alternative_name,alternative_keywords,alternative_farbig_link,alternative_sw_link,alternative_arasaac_link,api_suche_de,api_suche_en,notiz
1,Ball,Ball,ball,API-Kandidat – visuell prüfen,3241,ball,ball | beach ball | beachball,https://static.arasaac.org/pictograms/3241/3241_500.png,https://static.arasaac.org/pictograms/3241/3241_nocolor_500.png,https://arasaac.org/pictograms/3241,2269,ball,ball | soccer ball,https://static.arasaac.org/pictograms/2269/2269_500.png,https://static.arasaac.org/pictograms/2269/2269_nocolor_500.png,https://arasaac.org/pictograms/2269,https://api.arasaac.org/api/pictograms/de/search/Ball,https://api.arasaac.org/api/pictograms/en/search/ball,
2,Besen,Besen,broom,API-Kandidat – visuell prüfen,2693,Besen,Besen,https://static.arasaac.org/pictograms/2693/2693_500.png,https://static.arasaac.org/pictograms/2693/2693_nocolor_500.png,https://arasaac.org/pictograms/2693,2745,Besen,Besen,https://static.arasaac.org/pictograms/2745/2745_500.png,https://static.arasaac.org/pictograms/2745/2745_nocolor_500.png,https://arasaac.org/pictograms/2745,https://api.arasaac.org/api/pictograms/de/search/Besen,https://api.arasaac.org/api/pictograms/en/search/broom,
3,Bett,Bett,bed,API-Kandidat – visuell prüfen,25900,Bett,Bett,https://static.arasaac.org/pictograms/25900/25900_500.png,https://static.arasaac.org/pictograms/25900/25900_nocolor_500.png,https://arasaac.org/pictograms/25900,2304,Bett,Bett,https://static.arasaac.org/pictograms/2304/2304_500.png,https://static.arasaac.org/pictograms/2304/2304_nocolor_500.png,https://arasaac.org/pictograms/2304,https://api.arasaac.org/api/pictograms/de/search/Bett,https://api.arasaac.org/api/pictograms/en/search/bed,
4,Brille,Brille,glasses,API-Kandidat – visuell prüfen,3329,Brille,Brille,https://static.arasaac.org/pictograms/3329/3329_500.png,https://static.arasaac.org/pictograms/3329/3329_nocolor_500.png,https://arasaac.org/pictograms/3329,28593,Brille absetzen,Brille absetzen | Brille abnehmen,https://static.arasaac.org/pictograms/28593/28593_500.png,https://static.arasaac.org/pictograms/28593/28593_nocolor_500.png,https://arasaac.org/pictograms/28593,https://api.arasaac.org/api/pictograms/de/search/Brille,https://api.arasaac.org/api/pictograms/en/search/glasses,
5,Buch,Buch,book,API-Kandidat – visuell prüfen,25191,Buch,Buch,https://static.arasaac.org/pictograms/25191/25191_500.png,https://static.arasaac.org/pictograms/25191/25191_nocolor_500.png,https://arasaac.org/pictograms/25191,2450,Buch,Buch,https://static.arasaac.org/pictograms/2450/2450_500.png,https://static.arasaac.org/pictograms/2450/2450_nocolor_500.png,https://arasaac.org/pictograms/2450,https://api.arasaac.org/api/pictograms/de/search/Buch,https://api.arasaac.org/api/pictograms/en/search/book,
6,Decke,Decke,blanket,API-Kandidat – visuell prüfen,2459,Decke,Decke,https://static.arasaac.org/pictograms/2459/2459_500.png,https://static.arasaac.org/pictograms/2459/2459_nocolor_500.png,https://arasaac.org/pictograms/2459,17304,Tagesdecke,Tagesdecke | Decke,https://static.arasaac.org/pictograms/17304/17304_500.png,https://static.arasaac.org/pictograms/17304/17304_nocolor_500.png,https://arasaac.org/pictograms/17304,https://api.arasaac.org/api/pictograms/de/search/Decke,https://api.arasaac.org/api/pictograms/en/search/blanket,
7,Gabel,Gabel,fork,API-Kandidat – visuell prüfen,2588,Gabel,Gabel,https://static.arasaac.org/pictograms/2588/2588_500.png,https://static.arasaac.org/pictograms/2588/2588_nocolor_500.png,https://arasaac.org/pictograms/2588,36629,mit Gabel essen,mit Gabel essen | Gabel nehmen,https://static.arasaac.org/pictograms/36629/36629_500.png,https://static.arasaac.org/pictograms/36629/36629_nocolor_500.png,https://arasaac.org/pictograms/36629,https://api.arasaac.org/api/pictograms/de/search/Gabel,https://api.arasaac.org/api/pictograms/en/search/fork,
8,Handtuch,Handtuch,towel,API-Kandidat – visuell prüfen,2593,Handtuch,Handtuch,https://static.arasaac.org/pictograms/2593/2593_500.png,https://static.arasaac.org/pictograms/2593/2593_nocolor_500.png,https://arasaac.org/pictograms/2593,4758,towel,towel | beach towel,https://static.arasaac.org/pictograms/4758/4758_500.png,https://static.arasaac.org/pictograms/4758/4758_nocolor_500.png,https://arasaac.org/pictograms/4758,https://api.arasaac.org/api/pictograms/de/search/Handtuch,https://api.arasaac.org/api/pictograms/en/search/towel,
9,Kissen,Kissen,pillow,API-Kandidat – visuell prüfen,3264,Kissen,Kissen,https://static.arasaac.org/pictograms/3264/3264_500.png,https://static.arasaac.org/pictograms/3264/3264_nocolor_500.png,https://arasaac.org/pictograms/3264,2250,pillow,pillow,https://static.arasaac.org/pictograms/2250/2250_500.png,https://static.arasaac.org/pictograms/2250/2250_nocolor_500.png,https://arasaac.org/pictograms/2250,https://api.arasaac.org/api/pictograms/de/search/Kissen,https://api.arasaac.org/api/pictograms/en/search/pillow,
10,Lampe,Lampe,lamp,API-Kandidat – visuell prüfen,4938,Lampe,Lampe | Deckenleuchte,https://static.arasaac.org/pictograms/4938/4938_500.png,https://static.arasaac.org/pictograms/4938/4938_nocolor_500.png,https://arasaac.org/pictograms/4938,9178,Lampe,Lampe | Öllampe,https://static.arasaac.org/pictograms/9178/9178_500.png,https://static.arasaac.org/pictograms/9178/9178_nocolor_500.png,https://arasaac.org/pictograms/9178,https://api.arasaac.org/api/pictograms/de/search/Lampe,https://api.arasaac.org/api/pictograms/en/search/lamp,
