Bereich,Kategorie,Frequenz_0_4,Treffer_im_Korpus
Handlung,Aufbewahren,4,13
Handlung,Tragen,4,11
Handlung,Transportieren,4,9
Handlung,Spielen,4,8
Handlung,Beobachten,4,7
Handlung,Schützen,3,10
Handlung,Bauen,3,9
Handlung,Kommunizieren,3,8
Handlung,Schreiben,3,5
Handlung,Suchen,3,5
Handlung,Lesen,3,4
Handlung,Messen,3,4
Handlung,Schneiden,3,4
Handlung,Dekorieren,2,7
Handlung,Kochen,2,5
Handlung,Schlafen,2,5
Handlung,Waschen,2,5
Handlung,Reparieren,2,4
Handlung,Sammeln,2,4
Handlung,Putzen,2,3
Handlung,Essen,1,4
Handlung,Musizieren,1,4
Handlung,Trinken,1,4
Handlung,Leuchten,1,3
Handlung,Graben,1,1
Eigenschaft,hart,4,32
Eigenschaft,leicht,4,28
Eigenschaft,groß,4,21
Eigenschaft,klein,4,17
Eigenschaft,blickdicht,4,15
Eigenschaft,glatt,4,12
Eigenschaft,stabil,4,12
Eigenschaft,eckig,4,10
Eigenschaft,rund,4,10
Eigenschaft,beweglich,4,9
Eigenschaft,glänzend,3,14
Eigenschaft,lang,3,12
Eigenschaft,robust,3,9
Eigenschaft,fest,3,7
Eigenschaft,schwer,3,7
Eigenschaft,spitz,3,7
Eigenschaft,weich,3,7
Eigenschaft,bunt,3,6
Eigenschaft,matt,3,4
Eigenschaft,mittelgroß,2,6
Eigenschaft,biegsam,2,5
Eigenschaft,dünn,2,5
Eigenschaft,gefährlich,2,4
Eigenschaft,laut,2,4
Eigenschaft,dunkel,2,3
Eigenschaft,hell,2,3
Eigenschaft,rau,2,3
Eigenschaft,zerbrechlich,2,3
Eigenschaft,durchsichtig,2,2
Eigenschaft,flauschig,1,5
Eigenschaft,stark,1,3
Eigenschaft,duftend,1,2
Eigenschaft,starr,1,2
Eigenschaft,rutschig,1,1
Eigenschaft,schnell,1,1
Eigenschaft,stumpf,1,1
Eigenschaft,einfarbig,0,0
Eigenschaft,kurz,0,0
Eigenschaft,leise,0,0
Eigenschaft,stinkend,0,0
Ort,Schule,4,15
Ort,Büro,4,11
Ort,Wald,4,11
Ort,Küche,4,9
Ort,Campingplatz,3,11
Ort,Baustelle,3,9
Ort,Krankenhaus,3,9
Ort,Schlafzimmer,3,9
Ort,Sportplatz,3,7
Ort,Spielplatz,3,6
Ort,Garten,3,5
Ort,Werkstatt,2,7
Ort,Park,2,6
Ort,Straße,2,6
Ort,Badezimmer,2,5
Ort,Geschäft,2,5
Ort,Garage,2,4
Ort,Bauernhof,2,2
Ort,Wiese,1,5
Ort,Bahnhof,1,4
