Count,card_id,slot_01_id,slot_01_name,slot_01_file,override:Symbol 1:rotation,override:Symbol 1:width,override:Symbol 1:height,slot_02_id,slot_02_name,slot_02_file,override:Symbol 2:rotation,override:Symbol 2:width,override:Symbol 2:height,slot_03_id,slot_03_name,slot_03_file,override:Symbol 3:rotation,override:Symbol 3:width,override:Symbol 3:height,slot_04_id,slot_04_name,slot_04_file,override:Symbol 4:rotation,override:Symbol 4:width,override:Symbol 4:height,slot_05_id,slot_05_name,slot_05_file,override:Symbol 5:rotation,override:Symbol 5:width,override:Symbol 5:height,slot_06_id,slot_06_name,slot_06_file,override:Symbol 6:rotation,override:Symbol 6:width,override:Symbol 6:height,slot_07_id,slot_07_name,slot_07_file,override:Symbol 7:rotation,override:Symbol 7:width,override:Symbol 7:height,slot_08_id,slot_08_name,slot_08_file,override:Symbol 8:rotation,override:Symbol 8:width,override:Symbol 8:height,slot_09_id,slot_09_name,slot_09_file,override:Symbol 9:rotation,override:Symbol 9:width,override:Symbol 9:height
1,1,33,Lineal,assets/images/arasaac/color/sym_33.png,20,173,173,1,Ball,assets/images/arasaac/color/sym_01.png,-15,208,208,41,Schubkarre,assets/images/arasaac/color/sym_41.png,0,190,190,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-5,179,179,49,Angel,assets/images/arasaac/color/sym_49.png,-5,238,238,9,Kissen,assets/images/arasaac/color/sym_09.png,-5,173,173,25,Computer,assets/images/arasaac/color/sym_25.png,-10,196,196,57,Lupe,assets/images/arasaac/color/sym_57.png,5,202,202,17,Seife,assets/images/arasaac/color/sym_17.png,10,179,179
1,2,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-10,173,173,2,Besen,assets/images/arasaac/color/sym_02.png,10,196,196,42,Spiegel,assets/images/arasaac/color/sym_42.png,-10,196,196,10,Lampe,assets/images/arasaac/color/sym_10.png,-10,167,167,26,Eimer,assets/images/arasaac/color/sym_26.png,-5,244,244,18,Stift,assets/images/arasaac/color/sym_18.png,10,173,173,34,Maus,assets/images/arasaac/color/sym_34.png,20,190,190,58,Mikrofon,assets/images/arasaac/color/sym_58.png,-5,214,214,50,Arztkoffer,assets/images/arasaac/color/sym_50.png,20,185,185
1,3,11,Löffel,assets/images/arasaac/color/sym_11.png,0,190,190,59,Pfeife,assets/images/arasaac/color/sym_59.png,0,196,196,3,Bett,assets/images/arasaac/color/sym_03.png,10,214,214,51,Fernglas,assets/images/arasaac/color/sym_51.png,15,190,190,27,Fahrrad,assets/images/arasaac/color/sym_27.png,0,232,232,19,Tasse,assets/images/arasaac/color/sym_19.png,-20,190,190,35,Maßband,assets/images/arasaac/color/sym_35.png,5,196,196,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,202,202,43,Säge,assets/images/arasaac/color/sym_43.png,-15,173,173
1,4,4,Brille,assets/images/arasaac/color/sym_04.png,-20,173,173,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,15,196,196,44,Tastatur,assets/images/arasaac/color/sym_44.png,20,190,190,20,Teller,assets/images/arasaac/color/sym_20.png,-5,167,167,12,Messer,assets/images/arasaac/color/sym_12.png,10,226,226,52,Fußballtor,assets/images/arasaac/color/sym_52.png,10,173,173,60,Rollstuhl,assets/images/arasaac/color/sym_60.png,15,214,214,36,Puzzle,assets/images/arasaac/color/sym_36.png,-20,208,208,28,Gießkanne,assets/images/arasaac/color/sym_28.png,-10,173,173
1,5,37,Radio,assets/images/arasaac/color/sym_37.png,-5,173,173,21,Topf,assets/images/arasaac/color/sym_21.png,-15,202,202,29,Hammer,assets/images/arasaac/color/sym_29.png,-15,208,208,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,190,190,45,Würfel,assets/images/arasaac/color/sym_45.png,10,244,244,53,Karte,assets/images/arasaac/color/sym_53.png,15,179,179,13,Pfanne,assets/images/arasaac/color/sym_13.png,15,214,214,5,Buch,assets/images/arasaac/color/sym_05.png,-5,214,214,61,Schlafsack,assets/images/arasaac/color/sym_61.png,0,190,190
1,6,38,Rucksack,assets/images/arasaac/color/sym_38.png,-15,179,179,46,Zange,assets/images/arasaac/color/sym_46.png,-5,190,190,14,Regenschirm,assets/images/arasaac/color/sym_14.png,10,202,202,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,179,179,6,Decke,assets/images/arasaac/color/sym_06.png,0,226,226,62,Schläger,assets/images/arasaac/color/sym_62.png,-20,190,190,54,Koffer,assets/images/arasaac/color/sym_54.png,0,196,196,30,Helm,assets/images/arasaac/color/sym_30.png,10,190,190,22,Trinkflasche,assets/images/arasaac/color/sym_22.png,-15,179,179
1,7,47,Zeitung,assets/images/arasaac/color/sym_47.png,-20,179,179,31,Kamm,assets/images/arasaac/color/sym_31.png,-15,190,190,15,Schere,assets/images/arasaac/color/sym_15.png,5,214,214,23,Zahnbürste,assets/images/arasaac/color/sym_23.png,-10,173,173,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,226,226,63,Seil,assets/images/arasaac/color/sym_63.png,5,190,190,55,Kompass,assets/images/arasaac/color/sym_55.png,10,196,196,7,Gabel,assets/images/arasaac/color/sym_07.png,10,208,208,39,Schaufel,assets/images/arasaac/color/sym_39.png,15,179,179
1,8,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-10,190,190,16,Schüssel,assets/images/arasaac/color/sym_16.png,20,190,190,8,Handtuch,assets/images/arasaac/color/sym_08.png,0,196,196,64,Stethoskop,assets/images/arasaac/color/sym_64.png,-15,190,190,48,Zollstock,assets/images/arasaac/color/sym_48.png,-5,226,226,56,Krücke,assets/images/arasaac/color/sym_56.png,10,185,185,40,Schraubenzieher,assets/images/arasaac/color/sym_40.png,10,202,202,24,Bauklötze,assets/images/arasaac/color/sym_24.png,-15,190,190,32,Kerze,assets/images/arasaac/color/sym_32.png,-20,190,190
1,9,46,Zange,assets/images/arasaac/color/sym_46.png,0,173,173,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,20,214,214,19,Tasse,assets/images/arasaac/color/sym_19.png,-10,196,196,64,Stethoskop,assets/images/arasaac/color/sym_64.png,20,190,190,28,Gießkanne,assets/images/arasaac/color/sym_28.png,-10,232,232,10,Lampe,assets/images/arasaac/color/sym_10.png,5,190,190,37,Radio,assets/images/arasaac/color/sym_37.png,10,190,190,1,Ball,assets/images/arasaac/color/sym_01.png,15,202,202,55,Kompass,assets/images/arasaac/color/sym_55.png,-15,190,190
1,10,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,20,173,173,56,Krücke,assets/images/arasaac/color/sym_56.png,20,190,190,63,Seil,assets/images/arasaac/color/sym_63.png,-10,208,208,2,Besen,assets/images/arasaac/color/sym_02.png,-20,185,185,9,Kissen,assets/images/arasaac/color/sym_09.png,5,250,250,20,Teller,assets/images/arasaac/color/sym_20.png,15,173,173,45,Würfel,assets/images/arasaac/color/sym_45.png,15,190,190,27,Fahrrad,assets/images/arasaac/color/sym_27.png,20,214,214,38,Rucksack,assets/images/arasaac/color/sym_38.png,0,173,173
