symbol_id,gegenstand,arasaac_id,farbig_url,detail_url,pruefhinweis
1,Ball,3241,https://static.arasaac.org/pictograms/3241/3241_500.png,https://arasaac.org/pictograms/3241,
2,Besen,2693,https://static.arasaac.org/pictograms/2693/2693_500.png,https://arasaac.org/pictograms/2693,
3,Bett,25900,https://static.arasaac.org/pictograms/25900/25900_500.png,https://arasaac.org/pictograms/25900,
4,Brille,3329,https://static.arasaac.org/pictograms/3329/3329_500.png,https://arasaac.org/pictograms/3329,
5,Buch,25191,https://static.arasaac.org/pictograms/25191/25191_500.png,https://arasaac.org/pictograms/25191,
6,Decke,2459,https://static.arasaac.org/pictograms/2459/2459_500.png,https://arasaac.org/pictograms/2459,
7,Gabel,2588,https://static.arasaac.org/pictograms/2588/2588_500.png,https://arasaac.org/pictograms/2588,
8,Handtuch,2593,https://static.arasaac.org/pictograms/2593/2593_500.png,https://arasaac.org/pictograms/2593,
9,Kissen,3264,https://static.arasaac.org/pictograms/3264/3264_500.png,https://arasaac.org/pictograms/3264,
10,Lampe,4938,https://static.arasaac.org/pictograms/4938/4938_500.png,https://arasaac.org/pictograms/4938,
11,Löffel,2362,https://static.arasaac.org/pictograms/2362/2362_500.png,https://arasaac.org/pictograms/2362,
12,Messer,4931,https://static.arasaac.org/pictograms/4931/4931_500.png,https://arasaac.org/pictograms/4931,
13,Pfanne,2558,https://static.arasaac.org/pictograms/2558/2558_500.png,https://arasaac.org/pictograms/2558,
14,Regenschirm,2500,https://static.arasaac.org/pictograms/2500/2500_500.png,https://arasaac.org/pictograms/2500,
15,Schere,2591,https://static.arasaac.org/pictograms/2591/2591_500.png,https://arasaac.org/pictograms/2591,
16,Schüssel,3257,https://static.arasaac.org/pictograms/3257/3257_500.png,https://arasaac.org/pictograms/3257,
17,Seife,8094,https://static.arasaac.org/pictograms/8094/8094_500.png,https://arasaac.org/pictograms/8094,
18,Stift,10313,https://static.arasaac.org/pictograms/10313/10313_500.png,https://arasaac.org/pictograms/10313,
19,Tasse,2582,https://static.arasaac.org/pictograms/2582/2582_500.png,https://arasaac.org/pictograms/2582,
20,Teller,16857,https://static.arasaac.org/pictograms/16857/16857_500.png,https://arasaac.org/pictograms/16857,
21,Topf,9086,https://static.arasaac.org/pictograms/9086/9086_500.png,https://arasaac.org/pictograms/9086,
22,Trinkflasche,38604,https://static.arasaac.org/pictograms/38604/38604_500.png,https://arasaac.org/pictograms/38604,
23,Zahnbürste,2694,https://static.arasaac.org/pictograms/2694/2694_500.png,https://arasaac.org/pictograms/2694,
24,Bauklötze,4921,https://static.arasaac.org/pictograms/4921/4921_500.png,https://arasaac.org/pictograms/4921,
25,Computer,7190,https://static.arasaac.org/pictograms/7190/7190_500.png,https://arasaac.org/pictograms/7190,
26,Eimer,2724,https://static.arasaac.org/pictograms/2724/2724_500.png,https://arasaac.org/pictograms/2724,
27,Fahrrad,6935,https://static.arasaac.org/pictograms/6935/6935_500.png,https://arasaac.org/pictograms/6935,
28,Gießkanne,2817,https://static.arasaac.org/pictograms/2817/2817_500.png,https://arasaac.org/pictograms/2817,
29,Hammer,2922,https://static.arasaac.org/pictograms/2922/2922_500.png,https://arasaac.org/pictograms/2922,
30,Helm,2691,https://static.arasaac.org/pictograms/2691/2691_500.png,https://arasaac.org/pictograms/2691,
31,Kamm,2852,https://static.arasaac.org/pictograms/2852/2852_500.png,https://arasaac.org/pictograms/2852,
32,Kerze,6242,https://static.arasaac.org/pictograms/6242/6242_500.png,https://arasaac.org/pictograms/6242,
33,Lineal,2815,https://static.arasaac.org/pictograms/2815/2815_500.png,https://arasaac.org/pictograms/2815,
34,Maus,2546,https://static.arasaac.org/pictograms/2546/2546_500.png,https://arasaac.org/pictograms/2546,
35,Maßband,2913,https://static.arasaac.org/pictograms/2913/2913_500.png,https://arasaac.org/pictograms/2913,
36,Puzzle,2540,https://static.arasaac.org/pictograms/2540/2540_500.png,https://arasaac.org/pictograms/2540,
37,Radio,26358,https://static.arasaac.org/pictograms/26358/26358_500.png,https://arasaac.org/pictograms/26358,
38,Rucksack,2475,https://static.arasaac.org/pictograms/2475/2475_500.png,https://arasaac.org/pictograms/2475,
39,Schaufel,2867,https://static.arasaac.org/pictograms/2867/2867_500.png,https://arasaac.org/pictograms/2867,
40,Schraubenzieher,2736,https://static.arasaac.org/pictograms/2736/2736_500.png,https://arasaac.org/pictograms/2736,
41,Schubkarre,5947,https://static.arasaac.org/pictograms/5947/5947_500.png,https://arasaac.org/pictograms/5947,
42,Spiegel,8573,https://static.arasaac.org/pictograms/8573/8573_500.png,https://arasaac.org/pictograms/8573,
43,Säge,2799,https://static.arasaac.org/pictograms/2799/2799_500.png,https://arasaac.org/pictograms/2799,
44,Tastatur,2793,https://static.arasaac.org/pictograms/2793/2793_500.png,https://arasaac.org/pictograms/2793,
45,Würfel,2731,https://static.arasaac.org/pictograms/2731/2731_500.png,https://arasaac.org/pictograms/2731,
46,Zange,2644,https://static.arasaac.org/pictograms/2644/2644_500.png,https://arasaac.org/pictograms/2644,
47,Zeitung,7784,https://static.arasaac.org/pictograms/7784/7784_500.png,https://arasaac.org/pictograms/7784,
48,Zollstock,2915,https://static.arasaac.org/pictograms/2915/2915_500.png,https://arasaac.org/pictograms/2915,
49,Angel,5941,https://static.arasaac.org/pictograms/5941/5941_500.png,https://arasaac.org/pictograms/5941,
50,Arztkoffer,2930,https://static.arasaac.org/pictograms/2930/2930_500.png,https://arasaac.org/pictograms/2930,Verbandskasten statt eindeutigem Arztkoffer; visuell prüfen.
51,Fernglas,8198,https://static.arasaac.org/pictograms/8198/8198_500.png,https://arasaac.org/pictograms/8198,
52,Fußballtor,2535,https://static.arasaac.org/pictograms/2535/2535_500.png,https://arasaac.org/pictograms/2535,
53,Karte,24161,https://static.arasaac.org/pictograms/24161/24161_500.png,https://arasaac.org/pictograms/24161,
54,Koffer,2931,https://static.arasaac.org/pictograms/2931/2931_500.png,https://arasaac.org/pictograms/2931,
55,Kompass,8045,https://static.arasaac.org/pictograms/8045/8045_500.png,https://arasaac.org/pictograms/8045,
56,Krücke,8361,https://static.arasaac.org/pictograms/8361/8361_500.png,https://arasaac.org/pictograms/8361,
57,Lupe,9927,https://static.arasaac.org/pictograms/9927/9927_500.png,https://arasaac.org/pictograms/9927,
58,Mikrofon,2912,https://static.arasaac.org/pictograms/2912/2912_500.png,https://arasaac.org/pictograms/2912,
59,Pfeife,4722,https://static.arasaac.org/pictograms/4722/4722_500.png,https://arasaac.org/pictograms/4722,
60,Rollstuhl,25471,https://static.arasaac.org/pictograms/25471/25471_500.png,https://arasaac.org/pictograms/25471,
61,Schlafsack,4738,https://static.arasaac.org/pictograms/4738/4738_500.png,https://arasaac.org/pictograms/4738,
62,Schläger,2544,https://static.arasaac.org/pictograms/2544/2544_500.png,https://arasaac.org/pictograms/2544,
63,Seil,7006,https://static.arasaac.org/pictograms/7006/7006_500.png,https://arasaac.org/pictograms/7006,
64,Stethoskop,6000,https://static.arasaac.org/pictograms/6000/6000_500.png,https://arasaac.org/pictograms/6000,
65,Taschenlampe,6138,https://static.arasaac.org/pictograms/6138/6138_500.png,https://arasaac.org/pictograms/6138,
66,Taschenmesser,8638,https://static.arasaac.org/pictograms/8638/8638_500.png,https://arasaac.org/pictograms/8638,
67,Thermoskanne,7274,https://static.arasaac.org/pictograms/7274/7274_500.png,https://arasaac.org/pictograms/7274,
68,Turnmatte,36630,https://static.arasaac.org/pictograms/36630/36630_500.png,https://arasaac.org/pictograms/36630,
69,Verkehrsschild,2567,https://static.arasaac.org/pictograms/2567/2567_500.png,https://arasaac.org/pictograms/2567,Ampel statt allgemeinem Verkehrsschild; Ersatz suchen.
70,Wanderstock,35887,https://static.arasaac.org/pictograms/35887/35887_500.png,https://arasaac.org/pictograms/35887,
71,Werkzeugkiste,2676,https://static.arasaac.org/pictograms/2676/2676_500.png,https://arasaac.org/pictograms/2676,
72,Zelt,4756,https://static.arasaac.org/pictograms/4756/4756_500.png,https://arasaac.org/pictograms/4756,
73,Trommel,2578,https://static.arasaac.org/pictograms/2578/2578_500.png,https://arasaac.org/pictograms/2578,
