card_id,slot_01_id,slot_01_name,slot_01_file,slot_01_rot,slot_01_size,slot_02_id,slot_02_name,slot_02_file,slot_02_rot,slot_02_size,slot_03_id,slot_03_name,slot_03_file,slot_03_rot,slot_03_size,slot_04_id,slot_04_name,slot_04_file,slot_04_rot,slot_04_size,slot_05_id,slot_05_name,slot_05_file,slot_05_rot,slot_05_size,slot_06_id,slot_06_name,slot_06_file,slot_06_rot,slot_06_size,slot_07_id,slot_07_name,slot_07_file,slot_07_rot,slot_07_size,slot_08_id,slot_08_name,slot_08_file,slot_08_rot,slot_08_size,slot_09_id,slot_09_name,slot_09_file,slot_09_rot,slot_09_size
1,33,Lineal,assets/images/arasaac/color/sym_33.png,20,1.45,1,Ball,assets/images/arasaac/color/sym_01.png,-15,1.75,41,Schubkarre,assets/images/arasaac/color/sym_41.png,0,1.6,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-5,1.5,49,Angel,assets/images/arasaac/color/sym_49.png,-5,2.0,9,Kissen,assets/images/arasaac/color/sym_09.png,-5,1.45,25,Computer,assets/images/arasaac/color/sym_25.png,-10,1.65,57,Lupe,assets/images/arasaac/color/sym_57.png,5,1.7,17,Seife,assets/images/arasaac/color/sym_17.png,10,1.5
2,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-10,1.45,2,Besen,assets/images/arasaac/color/sym_02.png,10,1.65,42,Spiegel,assets/images/arasaac/color/sym_42.png,-10,1.65,10,Lampe,assets/images/arasaac/color/sym_10.png,-10,1.4,26,Eimer,assets/images/arasaac/color/sym_26.png,-5,2.05,18,Stift,assets/images/arasaac/color/sym_18.png,10,1.45,34,Maus,assets/images/arasaac/color/sym_34.png,20,1.6,58,Mikrofon,assets/images/arasaac/color/sym_58.png,-5,1.8,50,Arztkoffer,assets/images/arasaac/color/sym_50.png,20,1.55
3,11,Löffel,assets/images/arasaac/color/sym_11.png,0,1.6,59,Pfeife,assets/images/arasaac/color/sym_59.png,0,1.65,3,Bett,assets/images/arasaac/color/sym_03.png,10,1.8,51,Fernglas,assets/images/arasaac/color/sym_51.png,15,1.6,27,Fahrrad,assets/images/arasaac/color/sym_27.png,0,1.95,19,Tasse,assets/images/arasaac/color/sym_19.png,-20,1.6,35,Maßband,assets/images/arasaac/color/sym_35.png,5,1.65,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,1.7,43,Säge,assets/images/arasaac/color/sym_43.png,-15,1.45
4,4,Brille,assets/images/arasaac/color/sym_04.png,-20,1.45,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,15,1.65,44,Tastatur,assets/images/arasaac/color/sym_44.png,20,1.6,20,Teller,assets/images/arasaac/color/sym_20.png,-5,1.4,12,Messer,assets/images/arasaac/color/sym_12.png,10,1.9,52,Fußballtor,assets/images/arasaac/color/sym_52.png,10,1.45,60,Rollstuhl,assets/images/arasaac/color/sym_60.png,15,1.8,36,Puzzle,assets/images/arasaac/color/sym_36.png,-20,1.75,28,Gießkanne,assets/images/arasaac/color/sym_28.png,-10,1.45
5,37,Radio,assets/images/arasaac/color/sym_37.png,-5,1.45,21,Topf,assets/images/arasaac/color/sym_21.png,-15,1.7,29,Hammer,assets/images/arasaac/color/sym_29.png,-15,1.75,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,1.6,45,Würfel,assets/images/arasaac/color/sym_45.png,10,2.05,53,Karte,assets/images/arasaac/color/sym_53.png,15,1.5,13,Pfanne,assets/images/arasaac/color/sym_13.png,15,1.8,5,Buch,assets/images/arasaac/color/sym_05.png,-5,1.8,61,Schlafsack,assets/images/arasaac/color/sym_61.png,0,1.6
6,38,Rucksack,assets/images/arasaac/color/sym_38.png,-15,1.5,46,Zange,assets/images/arasaac/color/sym_46.png,-5,1.6,14,Regenschirm,assets/images/arasaac/color/sym_14.png,10,1.7,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,1.5,6,Decke,assets/images/arasaac/color/sym_06.png,0,1.9,62,Schläger,assets/images/arasaac/color/sym_62.png,-20,1.6,54,Koffer,assets/images/arasaac/color/sym_54.png,0,1.65,30,Helm,assets/images/arasaac/color/sym_30.png,10,1.6,22,Trinkflasche,assets/images/arasaac/color/sym_22.png,-15,1.5
7,47,Zeitung,assets/images/arasaac/color/sym_47.png,-20,1.5,31,Kamm,assets/images/arasaac/color/sym_31.png,-15,1.6,15,Schere,assets/images/arasaac/color/sym_15.png,5,1.8,23,Zahnbürste,assets/images/arasaac/color/sym_23.png,-10,1.45,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-20,1.9,63,Seil,assets/images/arasaac/color/sym_63.png,5,1.6,55,Kompass,assets/images/arasaac/color/sym_55.png,10,1.65,7,Gabel,assets/images/arasaac/color/sym_07.png,10,1.75,39,Schaufel,assets/images/arasaac/color/sym_39.png,15,1.5
8,65,Taschenlampe,assets/images/arasaac/color/sym_65.png,-10,1.6,16,Schüssel,assets/images/arasaac/color/sym_16.png,20,1.6,8,Handtuch,assets/images/arasaac/color/sym_08.png,0,1.65,64,Stethoskop,assets/images/arasaac/color/sym_64.png,-15,1.6,48,Zollstock,assets/images/arasaac/color/sym_48.png,-5,1.9,56,Krücke,assets/images/arasaac/color/sym_56.png,10,1.55,40,Schraubenzieher,assets/images/arasaac/color/sym_40.png,10,1.7,24,Bauklötze,assets/images/arasaac/color/sym_24.png,-15,1.6,32,Kerze,assets/images/arasaac/color/sym_32.png,-20,1.6
9,46,Zange,assets/images/arasaac/color/sym_46.png,0,1.45,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,20,1.8,19,Tasse,assets/images/arasaac/color/sym_19.png,-10,1.65,64,Stethoskop,assets/images/arasaac/color/sym_64.png,20,1.6,28,Gießkanne,assets/images/arasaac/color/sym_28.png,-10,1.95,10,Lampe,assets/images/arasaac/color/sym_10.png,5,1.6,37,Radio,assets/images/arasaac/color/sym_37.png,10,1.6,1,Ball,assets/images/arasaac/color/sym_01.png,15,1.7,55,Kompass,assets/images/arasaac/color/sym_55.png,-15,1.6
10,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,20,1.45,56,Krücke,assets/images/arasaac/color/sym_56.png,20,1.6,63,Seil,assets/images/arasaac/color/sym_63.png,-10,1.75,2,Besen,assets/images/arasaac/color/sym_02.png,-20,1.55,9,Kissen,assets/images/arasaac/color/sym_09.png,5,2.1,20,Teller,assets/images/arasaac/color/sym_20.png,15,1.45,45,Würfel,assets/images/arasaac/color/sym_45.png,15,1.6,27,Fahrrad,assets/images/arasaac/color/sym_27.png,20,1.8,38,Rucksack,assets/images/arasaac/color/sym_38.png,0,1.45
