card_id,position,symbol_id,name,filename,rotation_deg,size_cm
1,1,33,Lineal,symbols/sym_33.png,20,1.45
1,2,1,Ball,symbols/sym_01.png,-15,1.75
1,3,41,Schubkarre,symbols/sym_41.png,0,1.6
1,4,65,Taschenlampe,symbols/sym_65.png,-5,1.5
1,5,49,Angel,symbols/sym_49.png,-5,2.0
1,6,9,Kissen,symbols/sym_09.png,-5,1.45
1,7,25,Computer,symbols/sym_25.png,-10,1.65
1,8,57,Lupe,symbols/sym_57.png,5,1.7
1,9,17,Seife,symbols/sym_17.png,10,1.5
2,1,65,Taschenlampe,symbols/sym_65.png,-10,1.45
2,2,2,Besen,symbols/sym_02.png,10,1.65
2,3,42,Spiegel,symbols/sym_42.png,-10,1.65
2,4,10,Lampe,symbols/sym_10.png,-10,1.4
2,5,26,Eimer,symbols/sym_26.png,-5,2.05
2,6,18,Stift,symbols/sym_18.png,10,1.45
2,7,34,Maus,symbols/sym_34.png,20,1.6
2,8,58,Mikrofon,symbols/sym_58.png,-5,1.8
2,9,50,Arztkoffer,symbols/sym_50.png,20,1.55
3,1,11,Löffel,symbols/sym_11.png,0,1.6
3,2,59,Pfeife,symbols/sym_59.png,0,1.65
3,3,3,Bett,symbols/sym_03.png,10,1.8
3,4,51,Fernglas,symbols/sym_51.png,15,1.6
3,5,27,Fahrrad,symbols/sym_27.png,0,1.95
3,6,19,Tasse,symbols/sym_19.png,-20,1.6
3,7,35,Maßband,symbols/sym_35.png,5,1.65
3,8,65,Taschenlampe,symbols/sym_65.png,-20,1.7
3,9,43,Säge,symbols/sym_43.png,-15,1.45
4,1,4,Brille,symbols/sym_04.png,-20,1.45
4,2,65,Taschenlampe,symbols/sym_65.png,15,1.65
4,3,44,Tastatur,symbols/sym_44.png,20,1.6
4,4,20,Teller,symbols/sym_20.png,-5,1.4
4,5,12,Messer,symbols/sym_12.png,10,1.9
4,6,52,Fußballtor,symbols/sym_52.png,10,1.45
4,7,60,Rollstuhl,symbols/sym_60.png,15,1.8
4,8,36,Puzzle,symbols/sym_36.png,-20,1.75
4,9,28,Gießkanne,symbols/sym_28.png,-10,1.45
5,1,37,Radio,symbols/sym_37.png,-5,1.45
5,2,21,Topf,symbols/sym_21.png,-15,1.7
5,3,29,Hammer,symbols/sym_29.png,-15,1.75
5,4,65,Taschenlampe,symbols/sym_65.png,-20,1.6
5,5,45,Würfel,symbols/sym_45.png,10,2.05
5,6,53,Karte,symbols/sym_53.png,15,1.5
5,7,13,Pfanne,symbols/sym_13.png,15,1.8
5,8,5,Buch,symbols/sym_05.png,-5,1.8
5,9,61,Schlafsack,symbols/sym_61.png,0,1.6
6,1,38,Rucksack,symbols/sym_38.png,-15,1.5
6,2,46,Zange,symbols/sym_46.png,-5,1.6
6,3,14,Regenschirm,symbols/sym_14.png,10,1.7
6,4,65,Taschenlampe,symbols/sym_65.png,-20,1.5
6,5,6,Decke,symbols/sym_06.png,0,1.9
6,6,62,Schläger,symbols/sym_62.png,-20,1.6
